station,station_clean,row_count,mapped_station,score,include_station,remarks
QUEEN STATION - EAST S,QUEEN - EAST S,3,Queen,90,,
QUEEN'S QUAY - UNION,QUEEN'S QUAY - UNION,3,Queen,90,,
QUEEN'S QUAY STATION,QUEEN'S QUAY,3,Queen,90,,
SHEPPARD SUBWAY LINE,SHEPPARD SUBWAY LINE,3,Sheppard West,86,,
SHEPPARD TO ST CLAIR S,SHEPPARD TO ST CLAIR S,3,Sheppard–Yonge,86,,
SHEPPARD YONGE STATION,SHEPPARD YONGE,3,Sheppard–Yonge,100,1,
SHEPPARD-YONGE TAIL TR,SHEPPARD-YONGE TAIL TR,3,Sheppard–Yonge,90,,
SHERBOURNE STATION (EN,SHERBOURNE (EN,3,Sherbourne,95,,
SPADINA BD STATON,SPADINA BD STATON,3,Spadina,90,,
SRT LINE 3,SRT LINE 3,3,Sentinel,56,,
ST ANDREW TO SPADINA,ST ANDREW TO SPADINA,3,Spadina,90,,
ST GEORGE STATION TO W,ST GEORGE TO W,3,St. George,95,,
ST. CLAIR STATION TO S,ST. CLAIR TO S,3,St. Clair,90,,
SUBWAY CLOSURE: EARLY,SUBWAY CLOSURE: EARLY,3,Bay,68,,
SUBWAY CLOSURE: ST GEO,SUBWAY CLOSURE: ST GEO,3,St. Clair,86,,
SUBWAY OPS BUILDING,SUBWAY OPS BUILDING,3,King,77,,
UNION (TO ST ANDREW),UNION (TO ST ANDREW),3,Union,90,,
UNION STATION - KING,UNION - KING,3,King,90,,
UNION STATION TOWARD K,UNION TOWARD K,3,Union,90,,
UNION TO FINCH STATION,UNION TO FINCH,3,Finch,90,,
UNKNOWN LOCATION,UNKNOWN LOCATION,3,Union,68,,
VARIOUS,VARIOUS,3,Milvan Rumike,51,,
VARIOUS LOCATIONS,VARIOUS LOCATIONS,3,Union,60,,
VMC STATION (PLATFORM,VMC (PLATFORM,3,St. Patrick,50,,
WARDEN STATION (ENTERI,WARDEN (ENTERI,3,Warden,90,,
WILSON TO LAWRENCE WES,WILSON TO LAWRENCE WES,3,Lawrence,90,,
WOODBINE STATION (EXIT,WOODBINE (EXIT,3,Woodbine,90,,
WOODBINE STATION TO KE,WOODBINE TO KE,3,Woodbine,90,,
YONGE AND SHEPPARD,YONGE AND SHEPPARD,3,Sheppard–Yonge,95,,
YONGE UNIVERSITY - BLO,YONGE UNIVERSITY - BLO,3,Sheppard–Yonge,86,,
YONGE UNIVERSITY BLOOR,YONGE UNIVERSITY BLOOR,3,Sheppard–Yonge,86,,
YONGE UNIVERSTIY SUBWA,YONGE UNIVERSTIY SUBWA,3,Sheppard–Yonge,86,,
YONGE UNIVERSTY SUBWAY,YONGE UNIVERSTY SUBWAY,3,Sheppard–Yonge,86,,
YONGE/UNIVERSITY - BLO,YONGE/UNIVERSITY - BLO,3,Sheppard–Yonge,86,,
YONGE/UNIVERSITY SUBWA,YONGE/UNIVERSITY SUBWA,3,Sheppard–Yonge,86,,
YU/BD,YU/BD,3,Mount Dennis,54,,
AVENUE STATION,AVENUE,2,Avenue,100,1,
BESSARIAN STATION,BESSARIAN,2,Bessarion,89,,
BLOOR - DANFORTH LINE,BLOOR - DANFORTH LINE,2,Bloor–Yonge,86,,
BLOOR SATION,BLOOR SATION,2,Bloor–Yonge,70,,
BLOOR SOUTH,BLOOR SOUTH,2,Bloor–Yonge,64,,
BLOOR TO LAWRENCE STAT,BLOOR TO LAWRENCE STAT,2,Lawrence,90,,
BLOOR TO OSGOODE STATI,BLOOR TO OSGOODE STATI,2,Osgoode,90,,
BLOOR/DANFORTH LINE,BLOOR/DANFORTH LINE,2,Bloor–Yonge,86,,
BROADVIEW AND DANFORTH,BROADVIEW AND DANFORTH,2,Broadview,90,,
BROADVIEW AND ST GEORG,BROADVIEW AND ST GEORG,2,Broadview,90,,
BROADVIEW TO YONGE,BROADVIEW TO YONGE,2,Broadview,90,,
CHANGE OVERS / GENERAL,CHANGE OVERS / GENERAL,2,Jane,68,,
CHRISTIE STATION (LEAV,CHRISTIE (LEAV,2,Christie,90,,
CHRISTIE STATION TO CH,CHRISTIE TO CH,2,Christie,90,,
CHRISTIE STATION TO PA,CHRISTIE TO PA,2,Christie,90,,
CHURCH EMERGENCY EXIT,CHURCH EMERGENCY EXIT,2,Emery,72,,
COLLEGE TO KING,COLLEGE TO KING,2,College,90,,
COLLEGE TO SHEPPARD,COLLEGE TO SHEPPARD,2,College,90,,
DANFORTH DIVSION,DANFORTH DIVSION,2,Union,68,,
DAVISVILLE STATION BUI,DAVISVILLE BUI,2,Davisville,95,,
DAVISVILLE TO N/O BLOO,DAVISVILLE TO N/O BLOO,2,Davisville,90,,
DON MILLS STATION (LEA,DON MILLS (LEA,2,Don Mills,90,,
DONLANDS STATION (APPR,DONLANDS (APPR,2,Donlands,90,,
DUNCAN BUILDING,DUNCAN BUILDING,2,King,77,,
DUNCAN SHOPS,DUNCAN SHOPS,2,Duncanwoods,70,,
DUNCAN SUBSTATION,DUNCAN SUBSTATION,2,Union,68,,
DUNDAS STATION TO EGLI,DUNDAS TO EGLI,2,Eglinton,68,,
DUPONT STATION TO SPAD,DUPONT TO SPAD,2,Dupont,90,,
EA BLOOR DANFORTH OSSI,EA BLOOR DANFORTH OSSI,2,Bloor–Yonge,86,,
EARLY ACCESS CLOSURE S,EARLY ACCESS CLOSURE S,2,Queen's Park,86,,
EARLY CLOSURE - YONGE,EARLY CLOSURE - YONGE,2,Sheppard–Yonge,86,,
EGLINTON STATION TO YO,EGLINTON TO YO,2,Eglinton,90,,
EGLINTON TO DAVISVILLE,EGLINTON TO DAVISVILLE,2,Eglinton,90,,
EGLINTON TO SHEPPARD,EGLINTON TO SHEPPARD,2,Eglinton,90,,
EGLINTON TO UNION STAT,EGLINTON TO UNION STAT,2,Eglinton,90,,
EGLINTON TO YORK MILLS,EGLINTON TO YORK MILLS,2,York Mills,90,,
FINCH STATION (EXITING,FINCH (EXITING,2,Finch,90,,
FINCH STATION (LEAVING,FINCH (LEAVING,2,Finch,90,,
FINCH STATION (PLATFOR,FINCH (PLATFOR,2,Finch,90,,
FINCH STATION - PLATFO,FINCH - PLATFO,2,Finch,90,,
FINCH STATION- PLAT 1,FINCH- PLAT 1,2,Finch,90,,
FINCH TO DOWNSVIEW,FINCH TO DOWNSVIEW,2,Finch,90,,
FINCH TO LAWRENCE STAT,FINCH TO LAWRENCE STAT,2,Finch,90,,
FINCH TO QUEENS PARK S,FINCH TO QUEENS PARK S,2,Finch,90,,
FINCH TO ST. CLAIR,FINCH TO ST. CLAIR,2,Finch,90,,
GLENCAIRN STATION (APP,GLENCAIRN (APP,2,Glencairn,90,,
GO PROTOCOL,GO PROTOCOL,2,College,54,,
GREENWOOD AND DANFORTH,GREENWOOD AND DANFORTH,2,Greenwood,90,,
GREENWOOD GATEHOUSE,GREENWOOD GATEHOUSE,2,Greenwood,90,,
GREENWOOD TRACK BUILDI,GREENWOOD TRACK BUILDI,2,Greenwood,90,,
GUNN THEATRE,GUNN THEATRE,2,Union,60,,
HIGH PARK STAITON,HIGH PARK STAITON,2,High Park,90,,
ISLINGTON CENTRE TRACK,ISLINGTON CENTRE TRACK,2,Islington,90,,
JANE STATION (ENTERING,JANE (ENTERING,2,Jane,90,,
JANE TO OLD MILL,JANE TO OLD MILL,2,Old Mill,90,,
KEELE STATION (APPROAC,KEELE (APPROAC,2,Keele,90,,
KEELE TO DUNDAS WEST,KEELE TO DUNDAS WEST,2,Keele,90,,
KEELE TO OSSINGTON,KEELE TO OSSINGTON,2,Keele,90,,
KENNEDY BD STATION (EN,KENNEDY BD (EN,2,Kennedy,90,,
KENNEDY BD STATION - P,KENNEDY BD - P,2,Kennedy,90,,
KENNEDY BD STATION PL,KENNEDY BD PL,2,Kennedy,90,,
KENNEDY SRT - LAWRENCE,KENNEDY SRT - LAWRENCE,2,Lawrence,90,,
KENNEDY SRT STATION [A,KENNEDY SRT [A,2,Kennedy,90,,
KENNEDY STATION TO MCC,KENNEDY TO MCC,2,Kennedy,90,,
KENNEDY STATION TO WOO,KENNEDY TO WOO,2,Kennedy,90,,
KENNEDY TO KIPLING,KENNEDY TO KIPLING,2,Kipling,90,,
KING COMMERCE,KING COMMERCE,2,King,90,,
KING STATION TO EGLINT,KING TO EGLINT,2,King,90,,
KING TO ST GEORGE STAT,KING TO ST GEORGE STAT,2,King,90,,
KIPLING STATION (LEAVI,KIPLING (LEAVI,2,Kipling,90,,
KIPLING STATION TO COX,KIPLING TO COX,2,Kipling,90,,
KIPLING TO KEELE STATI,KIPLING TO KEELE STATI,2,Kipling,90,,
KIPLING TO KENNEDY STA,KIPLING TO KENNEDY STA,2,Kipling,90,,
LANSDOWNE TO ROYAL YOR,LANSDOWNE TO ROYAL YOR,2,Lansdowne,90,,
LAWRENCE STATION TO YO,LAWRENCE TO YO,2,Lawrence,90,,
LAWRENCE TO ST CLAIR,LAWRENCE TO ST CLAIR,2,Lawrence,90,,
LAWRENCE TO YORK MILLS,LAWRENCE TO YORK MILLS,2,York Mills,90,,
LAWRENCE WEST TO EGLIN,LAWRENCE WEST TO EGLIN,2,Lawrence,90,,
LESLIE STATION (APPROA,LESLIE (APPROA,2,Leslie,90,,
LINE 2,LINE 2,2,Signet Arrow,60,,
LINE 2 - BLOOR DANFORT,LINE 2 - BLOOR DANFORT,2,Bloor–Yonge,86,,
LINE 2 BD,LINE 2 BD,2,Albion,60,,
LINE 2 BLOOR - DANFORT,LINE 2 BLOOR - DANFORT,2,Bloor–Yonge,86,,
LINE 3 - KENNEDY TO LA,LINE 3 - KENNEDY TO LA,2,Kennedy,90,,
LYTTON EE,LYTTON EE,2,Keele,57,,
MAC DONALD CARTIER EE,MAC DONALD CARTIER EE,2,Christie,61,,
MACDONALD CARTIER EMER,MACDONALD CARTIER EMER,2,Emery,80,,
MAIN STATION,MAIN,2,Main Street,90,,
MARKDALE EE,MARKDALE EE,2,Pearldale,66,,
MARKDALE EMERGENCY EXI,MARKDALE EMERGENCY EXI,2,Emery,76,,
NORTH HOSTLER,NORTH HOSTLER,2,Chester,64,,
NORTH YORK CENTRE,NORTH YORK CENTRE,2,North York Centre,100,1,
NORTHBOUND TO LAWRENCE,NORTHBOUND TO LAWRENCE,2,Lawrence,90,,
OLD MILL STATION (APPR,OLD MILL (APPR,2,Old Mill,90,,
OSGOODE TO COLLEGE,OSGOODE TO COLLEGE,2,College,90,,
OSSINGTON TO KEELE STA,OSSINGTON TO KEELE STA,2,Keele,90,,
OSSINGTON TO ST GEORGE,OSSINGTON TO ST GEORGE,2,Ossington,90,,
QUEEN AND YONGE,QUEEN AND YONGE,2,Queen,90,,
QUEEN QUAY STATION,QUEEN QUAY,2,Queen,90,,
QUEENS QUAY ELEVATOR,QUEENS QUAY ELEVATOR,2,Queen,90,,
SHEPPARD STATION TO CO,SHEPPARD TO CO,2,Sheppard West,74,,
SHEPPARD TO ST. CLAIR,SHEPPARD TO ST. CLAIR,2,St. Clair,90,,
SHEPPARD WEST - FINCH,SHEPPARD WEST - FINCH,2,Finch,90,,
SHEPPARD WEST - ST CLA,SHEPPARD WEST - ST CLA,2,Sheppard West,90,,
SHEPPARD- YONGE STATIO,SHEPPARD- YONGE,2,Sheppard–Yonge,97,1,
SINGLE LINE OPERATIONS,SINGLE LINE OPERATIONS,2,King,68,,
SPADINA STATION TO KIN,SPADINA TO KIN,2,Spadina,90,,
SPADINA STATION YUS,SPADINA YUS,2,Spadina,90,,
SPADINA TO ST ANDREW,SPADINA TO ST ANDREW,2,Spadina,90,,
ST CLAIR STATION - UPP,ST CLAIR - UPP,2,St. Clair,86,,
ST CLAIR TO FINCH STAT,ST CLAIR TO FINCH STAT,2,Finch,90,,
ST CLAIR TO UNION STAT,ST CLAIR TO UNION STAT,2,Union,90,,
ST CLAIR WEST TO DUPON,ST CLAIR WEST TO DUPON,2,St. Clair West,87,,
ST GEORGE BD STATION -,ST GEORGE BD -,2,St. George,95,,
ST GEORGE STATION TO B,ST GEORGE TO B,2,St. George,95,,
ST GEORGE TO LAWRENCE,ST GEORGE TO LAWRENCE,2,Lawrence,90,,
ST. CLAIR WEST,ST. CLAIR WEST,2,St. Clair West,100,1,
ST. GEORGE TO ST. ANDR,ST. GEORGE TO ST. ANDR,2,St. George,90,,
SUBWAY CLOSURE: KIPLIN,SUBWAY CLOSURE: KIPLIN,2,Kipling,83,,
SUBWAY CLOSURE: LAWREN,SUBWAY CLOSURE: LAWREN,2,Lawrence,77,,
UNION - KING,UNION - KING,2,King,90,,
UNION AND KENNEDY STAT,UNION AND KENNEDY STAT,2,Union,90,,
UNION STATION (TOWARD,UNION (TOWARD,2,Union,90,,
UNION STATION - TO KIN,UNION - TO KIN,2,Union,90,,
UNION TO FINCH,UNION TO FINCH,2,Finch,90,,
VICTORIA PARK STATION-,VICTORIA PARK-,2,Victoria Park,100,1,
VMC TO ST GEORGE STATI,VMC TO ST GEORGE STATI,2,St. Clair,86,,
WARDEN STATION (APPROA,WARDEN (APPROA,2,Warden,90,,
WARDEN STATION (DEPART,WARDEN (DEPART,2,Warden,90,,
WILFRED EMERGENCY EXIT,WILFRED EMERGENCY EXIT,2,Emery,76,,
WILSON HOSTLER SOUTHBO,WILSON HOSTLER SOUTHBO,2,Wilson,90,,
WILSON TO ST CLAIR WES,WILSON TO ST CLAIR WES,2,Wilson,90,,
WILSON YARD - NORTH HO,WILSON YARD - NORTH HO,2,Wilson,90,,
WILSON YARD CARHOUSE,WILSON YARD CARHOUSE,2,Wilson,90,,
WOODBINE TO BROADVIEW,WOODBINE TO BROADVIEW,2,Broadview,90,,
WOODBINE TO KENNEDY ST,WOODBINE TO KENNEDY ST,2,Woodbine,90,,
YONGE,YONGE,2,Sheppard–Yonge,90,,
YONGE - UNIVERSITY SUB,YONGE - UNIVERSITY SUB,2,Sheppard–Yonge,86,,
YONGE AND DUNDAS,YONGE AND DUNDAS,2,Dundas West,67,,
YONGE BD STATION (LEAV,YONGE BD (LEAV,2,Bloor–Yonge,63,,
YONGE BD TO PAPE STATI,YONGE BD TO PAPE STATI,2,Pape,90,,
YONGE SHEPPARD STATION,YONGE SHEPPARD,2,Sheppard–Yonge,95,,
YONGE SHP STATION (LEA,YONGE SHP (LEA,2,Sheppard–Yonge,63,,
YONGE UNIVERSITY,YONGE UNIVERSITY,2,York University,84,,
YONGE UNIVERSITY / BLO,YONGE UNIVERSITY / BLO,2,Sheppard–Yonge,86,,
YONGE-BLOOR,YONGE-BLOOR,2,Bloor–Yonge,95,,
YONGE-UNIVERISTY AND B,YONGE-UNIVERISTY AND B,2,Sheppard–Yonge,86,,
YONGE-UNIVERSITY SPADI,YONGE-UNIVERSITY SPADI,2,Sheppard–Yonge,86,,
YONGE/UNIVERSITY,YONGE/UNIVERSITY,2,York University,84,,
YONGE/UNIVERSITY - LIN,YONGE/UNIVERSITY - LIN,2,Sheppard–Yonge,86,,
YORK MILLS CENTER TRAC,YORK MILLS CENTER TRAC,2,York Mills,90,,
YOUNG UNIVERSITY SPADI,YOUNG UNIVERSITY SPADI,2,York University,76,,
YU- YONGE-UNIVERSITY S,YU- YONGE-UNIVERSITY S,2,Sheppard–Yonge,86,,
"YORK UNIVERSTITY, DOWN","YORK UNIVERSTITY, DOWN",1,York Mills,86,,
"YONGE UNIVERSITY, LINE","YONGE UNIVERSITY, LINE",1,Sheppard–Yonge,86,,
"KENNEDY, DON MILLS, SC","KENNEDY, DON MILLS, SC",1,Kennedy,90,,
"UNION, KIPLING, ROYAL","UNION, KIPLING, ROYAL",1,Union,90,,
"UNION, EXHIBITION, MIM","UNION, EXHIBITION, MIM",1,Union,90,,
"LINE 1, LINE 2 AND LIN","LINE 1, LINE 2 AND LIN",1,Jane and Finch,86,,
"UNION, MAIN, KENNEDY S","UNION, MAIN, KENNEDY S",1,Union,90,,
"GO PROTOCOL - UNION, D","GO PROTOCOL - UNION, D",1,Union,90,,
"BROADVIEW, CASTLE FRAN","BROADVIEW, CASTLE FRAN",1,Broadview,90,,
"UNION, DOWNSVIEW PARK,","UNION, DOWNSVIEW PARK,",1,Union,90,,
(APPROACHING),(APPROACHING),1,King,77,,
(APPROACHING) KENNEDY,(APPROACHING) KENNEDY,1,Kennedy,90,,
1 ST CLAIR AVENUE EAST,1 ST CLAIR AVENUE EAST,1,Avenue,90,,
1 TIPPETT ROAD,1 TIPPETT ROAD,1,Pape,68,,
111 SPADINA ROAD,111 SPADINA ROAD,1,Spadina,90,,
120 CARTWRIGHT AVE,120 CARTWRIGHT AVE,1,Avenue,60,,
169 DANFORTH AVENUE,169 DANFORTH AVENUE,1,Avenue,90,,
1900 YONGE MCBRIEN BLD,1900 YONGE MCBRIEN BLD,1,Sheppard–Yonge,86,,
1900 YONGE ST- MCBRIEN,1900 YONGE ST- MCBRIEN,1,Sheppard–Yonge,86,,
1900 YONGE STREET,1900 YONGE STREET,1,Bloor–Yonge,86,,
2233 SHEPPARD WEST,2233 SHEPPARD WEST,1,Sheppard West,95,,
250 BLOOR ST E,250 BLOOR ST E,1,St. Clair,86,,
391 ALLIANCE,391 ALLIANCE,1,Jane,68,,
40 CARL HALL ROAD UNIT,40 CARL HALL ROAD UNIT,1,Union,60,,
ALL OPEN CUT AREA,ALL OPEN CUT AREA,1,St. Andrew,56,,
ALL OPEN CUTS,ALL OPEN CUTS,1,Albion,49,,
ALL STATIONS,ALLS,1,York Mills,77,,
ALLEN RD (N OF EGLINTO,ALLEN RD (N OF EGLINTO,1,Eglinton,84,,
ALLEN ROAD AND EGLINTO,ALLEN ROAD AND EGLINTO,1,Jane and Finch,86,,
APPROACHING DUNDAS WES,APPROACHING DUNDAS WES,1,Dundas West,86,,
APPROACHING FINCH STAT,APPROACHING FINCH STAT,1,Finch,90,,
APPROACHING OLD MILL S,APPROACHING OLD MILL S,1,Old Mill,90,,
APPROCHING OLD MILL ST,APPROCHING OLD MILL ST,1,Old Mill,90,,
ARROW GARAGE,ARROW GARAGE,1,Signet Arrow,63,,
ATC AREA,ATC AREA,1,St. Andrew,56,,
ATC FAILURE,ATC FAILURE,1,Laird,54,,
ATC TERRIROTY,ATC TERRIROTY,1,Chester,51,,
ATC TERRITORY,ATC TERRITORY,1,Tobermory,55,,
AVENUE ECLRT STATION,AVENUE ECLRT,1,Avenue,90,,
B/W BLOOR DANFORTH SUB,B/W BLOOR DANFORTH SUB,1,Bloor–Yonge,86,,
BATHURST TO CASTLE FRA,BATHURST TO CASTLE FRA,1,Bathurst,90,,
BATHURST TO CHRISTIE,BATHURST TO CHRISTIE,1,Christie,90,,
BATHUSRT STATION,BATHUSRT,1,Bathurst,88,,
BATHUST TO PAPE STATIO,BATHUST TO PAPE,1,Pape,90,,
BAY AND BLOOR,BAY AND BLOOR,1,Bay,90,,
BAY STATION TO PAPE ST,BAY TO PAPE ST,1,Bay,90,,
BAYVIEW SUBSTATION,BAYVIEW SUBSTATION,1,Bay,90,,
BAYVIEW TO BESSARION,BAYVIEW TO BESSARION,1,Bay,90,,
BAYVIEW TO SHEPAPRD/YO,BAYVIEW TO SHEPAPRD/YO,1,Bay,90,,
BD LINE CHANGEOVERS,BD LINE CHANGEOVERS,1,Jane,68,,
BEDFORD SUBSTATION,BEDFORD SUBSTATION,1,Union,68,,
BETWEEN SHEPPARD AND S,BETWEEN SHEPPARD AND S,1,Sheppard–Yonge,86,,
BETWEEN SHERBOURNE AND,BETWEEN SHERBOURNE AND,1,Sherbourne,90,,
BETWEEN WARDEN STATION,BETWEEN WARDEN,1,Warden,90,,
BICHMOUNT DIVISION,BICHMOUNT DIVISION,1,Birchmount,85,,
BIRCHMOUNT DIVISION,BIRCHMOUNT DIVISION,1,Birchmount,90,,
BIRCHMOUNT EE,BIRCHMOUNT EE,1,Birchmount,95,,
BIRCHMOUNT EMERGENCY E,BIRCHMOUNT EMERGENCY E,1,Birchmount,90,,
BLOOR / DANFORTH LINE,BLOOR / DANFORTH LINE,1,Bloor–Yonge,86,,
BLOOR AND ABERFOYLE CR,BLOOR AND ABERFOYLE CR,1,Bloor–Yonge,86,,
BLOOR DANFORTH,BLOOR DANFORTH,1,Bloor–Yonge,59,,
BLOOR DANFORTH/YONGE U,BLOOR DANFORTH/YONGE U,1,Sheppard–Yonge,86,,
BLOOR DANFORTHLINE,BLOOR DANFORTHLINE,1,Bloor–Yonge,86,,
BLOOR HAYDEN ENTRANCE,BLOOR HAYDEN ENTRANCE,1,Bloor–Yonge,86,,
BLOOR HUB,BLOOR HUB,1,Bloor–Yonge,68,,
BLOOR INTERLOCKING,BLOOR INTERLOCKING,1,King,90,,
BLOOR STATION (STATION,BLOOR (STATION,1,Union,68,,
BLOOR STATION - YONGE,BLOOR - YONGE,1,Bloor–Yonge,95,,
BLOOR STATION TO YORK,BLOOR TO YORK,1,Bloor–Yonge,67,,
BLOOR STATION-DUNDAS S,BLOOR-DUNDAS S,1,Dundas West,67,,
BLOOR STATON,BLOOR STATON,1,Bloor–Yonge,70,,
BLOOR TO COLLEGE,BLOOR TO COLLEGE,1,College,90,,
BLOOR TO DAVISVILLE,BLOOR TO DAVISVILLE,1,Davisville,90,,
BLOOR TO DAVISVILLE ST,BLOOR TO DAVISVILLE ST,1,Davisville,90,,
BLOOR TO EGLINTON STAT,BLOOR TO EGLINTON STAT,1,Eglinton,90,,
BLOOR TO KING STATIONS,BLOOR TO KINGS,1,King,90,,
BLOOR TO MUSUEM STATIO,BLOOR TO MUSUEM,1,Museum,75,,
BLOOR TO ROSEDALE STAT,BLOOR TO ROSEDALE STAT,1,Rosedale,90,,
BLOOR TO ST ANDREW STA,BLOOR TO ST ANDREW STA,1,St. Clair,86,,
BLOOR TO ST.CLAIR,BLOOR TO ST.CLAIR,1,St. Clair,86,,
BLOOR TO UNION,BLOOR TO UNION,1,Union,90,,
BLOOR TO YORK MILLS,BLOOR TO YORK MILLS,1,York Mills,90,,
BLOOR VIA DUCT,BLOOR VIA DUCT,1,Bloor–Yonge,59,,
BLOOR YONGE,BLOOR YONGE,1,Bloor–Yonge,100,1,
BLOOR YONGE LINES,BLOOR YONGE LINES,1,Bloor–Yonge,90,,
BLOOR YU / YONGE BD ST,BLOOR YU / YONGE BD ST,1,Sheppard–Yonge,86,,
BLOOR-DANFORTH,BLOOR-DANFORTH,1,Bloor–Yonge,59,,
BLOOR/DANFORTH AND YON,BLOOR/DANFORTH AND YON,1,Bloor–Yonge,86,,
BLOOR/YONGE,BLOOR/YONGE,1,Bloor–Yonge,100,1,
BRAODVIEW STATION TO W,BRAODVIEW TO W,1,Broadview,80,,
BRIDGEMAN LOT,BRIDGEMAN LOT,1,Mount Dennis,46,,
BROADVIEW STATION (LEA,BROADVIEW (LEA,1,Broadview,90,,
BROADVIEW STATION TO S,BROADVIEW TO S,1,Broadview,90,,
BROADVIEW TO CHESTER S,BROADVIEW TO CHESTER S,1,Broadview,90,,
BROADVIEW TO KIPLING S,BROADVIEW TO KIPLING S,1,Kipling,90,,
BROADVIEW TO SCARBOROU,BROADVIEW TO SCARBOROU,1,Broadview,90,,
BROADVIEW TO SHERBOURN,BROADVIEW TO SHERBOURN,1,Broadview,90,,
BROADVIEW TO ST. GEORG,BROADVIEW TO ST. GEORG,1,Broadview,90,,
BROADVIEW TO YONGE STA,BROADVIEW TO YONGE STA,1,Broadview,90,,
BRUNSWICK AND BLOOR,BRUNSWICK AND BLOOR,1,Bloor–Yonge,86,,
BUCHAN ESB,BUCHAN ESB,1,Jane,68,,
CALENDONIA STATION,CALENDONIA,1,Caledonia,95,,
CASTLE FRANK - BROADVI,CASTLE FRANK - BROADVI,1,Castle Frank,90,,
CASTLE FRANK TO SHERBO,CASTLE FRANK TO SHERBO,1,Castle Frank,90,,
CELEDONIA STATION,CELEDONIA,1,Caledonia,89,,
CHANGE OVERS,CHANGE OVERS,1,Jane,68,,
CHANGE OVERS LINE TWO,CHANGE OVERS LINE TWO,1,Jane,68,,
CHESTER STATION (ENTER,CHESTER (ENTER,1,Chester,90,,
CHESTER STATION (LEAVI,CHESTER (LEAVI,1,Chester,90,,
CHESTER TO CASTLEFRANK,CHESTER TO CASTLEFRANK,1,Chester,90,,
CHESTER TO WARDEN,CHESTER TO WARDEN,1,Chester,90,,
CHESTER TO YONGE STATI,CHESTER TO YONGE STATI,1,Chester,90,,
CHRISTIE - ST GEORGE S,CHRISTIE - ST GEORGE S,1,Christie,90,,
CHRISTIE CENTER,CHRISTIE CENTER,1,Christie,90,,
CHRISTIE CENTRE TRACK,CHRISTIE CENTRE TRACK,1,Christie,90,,
CHRSTIE TO PAPE STATIO,CHRSTIE TO PAPE,1,Pape,90,,
CHURCH EE,CHURCH EE,1,Humber College,52,,
CLANTON PARK,CLANTON PARK,1,Aga Khan Park & Museum,86,,
CLANTON PARK EMERGENCY,CLANTON PARK EMERGENCY,1,Queen's Park,86,,
CLANTON PARK PORTAL,CLANTON PARK PORTAL,1,Queen's Park,86,,
CLANTON PORTAL TO EGLI,CLANTON PORTAL TO EGLI,1,Eglinton,60,,
CLEAR FINCH STATION-PL,CLEAR FINCH-PL,1,Finch,90,,
CLOSURE FINCH TO ST CL,CLOSURE FINCH TO ST CL,1,Finch,90,,
CLOSURE- KEELE TO OSSI,CLOSURE- KEELE TO OSSI,1,Keele,90,,
CLOSURE- VICTORIA PARK,CLOSURE- VICTORIA PARK,1,Victoria Park,90,,
CLOSURES BUILDING,CLOSURES BUILDING,1,King,77,,
CNE EAST LOOP,CNE EAST LOOP,1,Jane,51,,
COLLEGE AND OSGOODE ST,COLLEGE AND OSGOODE ST,1,College,90,,
COLLEGE AND WELLESLEY,COLLEGE AND WELLESLEY,1,Wellesley,90,,
COLLEGE STATION LEAVIN,COLLEGE LEAVIN,1,College,90,,
COLLEGE STATION TO OSG,COLLEGE TO OSG,1,College,90,,
COLLEGE TO OSGOODE LIN,COLLEGE TO OSGOODE LIN,1,College,90,,
COLLEGE TO ST CLAIR,COLLEGE TO ST CLAIR,1,College,90,,
COLLEGE TO ST.CLAIR ST,COLLEGE TO ST.CLAIR ST,1,College,90,,
COXWELL STATION (ENTER,COXWELL (ENTER,1,Coxwell,90,,
COXWELL STATION (EXITI,COXWELL (EXITI,1,Coxwell,90,,
COXWELL STATION (LEAVI,COXWELL (LEAVI,1,Coxwell,90,,
COXWELL STATION APPROA,COXWELL APPROA,1,Coxwell,90,,
COXWELL TO GREENWOOD Y,COXWELL TO GREENWOOD Y,1,Greenwood,90,,
COXWELL TO KENNEDY,COXWELL TO KENNEDY,1,Coxwell,90,,
COXWELL TO KENNEDY STA,COXWELL TO KENNEDY STA,1,Coxwell,90,,
DANFORTH,DANFORTH,1,North York Centre,69,,
DANFORTH AND COXWELL,DANFORTH AND COXWELL,1,Coxwell,90,,
DAVENPORT BUILDING,DAVENPORT BUILDING,1,King,77,,
DAVISVILLE - ST. CLAIR,DAVISVILLE - ST. CLAIR,1,Davisville,90,,
DAVISVILLE BUID-UP,DAVISVILLE BUID-UP,1,Davisville,90,,
DAVISVILLE BUILDD UP,DAVISVILLE BUILDD UP,1,Davisville,90,,
DAVISVILLE OFFICES,DAVISVILLE OFFICES,1,Davisville,90,,
DAVISVILLE STATION (AP,DAVISVILLE (AP,1,Davisville,95,,
DAVISVILLE STATION (BU,DAVISVILLE (BU,1,Davisville,95,,
DAVISVILLE STATION - B,DAVISVILLE - B,1,Davisville,95,,
DAVISVILLE STATION - L,DAVISVILLE - L,1,Davisville,95,,
DAVISVILLE STATION TO,DAVISVILLE TO,1,Davisville,95,,
DAVISVILLE STRUCTURE,DAVISVILLE STRUCTURE,1,Davisville,90,,
DAVISVILLE TO LAWRENCE,DAVISVILLE TO LAWRENCE,1,Lawrence,90,,
DAVISVILLE TO ROSEDALE,DAVISVILLE TO ROSEDALE,1,Davisville,90,,
